Title,Topic,Link
لاهور هاءِ ڪورٽ پاران ججز جي مقرري سي ايس ايس ذريعي ڪرڻ واري اپيل خارج,عدالتون,https://dailysobh.com/archives/67889
ڪراچي ۾سموريون حددخليون ختم ڪرڻ،اورنگي ۽ گجر نالن تي آپريشن جاري رکڻ جو حڪم,عدالتون,https://dailysobh.com/archives/67848
عدالت 63 سال پراڻي تڪرار جو فيصلو پنجاب حڪومتي حق ۾ ڏئي ڇڏيو,عدالتون,https://dailysobh.com/archives/67707
اسلام آباد هاءِ ڪورٽ جي اڳوڻي جج شوڪت عزيز جي برطرفي خلاف اپيل تي ٻڌڻي,عدالتون,https://dailysobh.com/archives/67594
سپريم ڪورٽ ۾ اقليتن جي حقن بابت پاڻمرادو نوٽيس ڪيس جي ٻُڌڻي گرمين جي موڪلن کان بعد تائين ملتوي,عدالتون,https://dailysobh.com/archives/67530
شوڪت عزيز صديقي غير ذميواري جو مظاهرو ڪيو ۽ پنهنجي عهدي کي نه سمجهيو:سپريم ڪورٽ,عدالتون,https://dailysobh.com/archives/67485
لاهور هاءِ ڪورٽ ڪئپٽن (ر) محمد صفدر جي عارضي ضمانت جي درخواست اُڪلائي ڇڏي,عدالتون,https://dailysobh.com/archives/67417
نيشنل هاءِ وي اٿارٽي ڪرپٽ ادارو بڻجي چڪو آهي، فنڊ ڪيڏانهن وڃن ٿا؟سپريم ڪورٽ,عدالتون,https://dailysobh.com/archives/67322
سکر هاءِ ڪورٽ پاران سنڌ ۾ ٻيلي کاتي جي زمينن جي الاٽمينٽ رد، نيب کي جاچ جو حڪم,عدالتون,https://dailysobh.com/archives/66974
سنڌ هاءِ ڪورٽ پاران ماءُ ۽ ٻن پٽن جي قتل ڪيس ۾ ڦاسي جي سزا ٻڌايل 4 جوابدارن جي عمر قيد ۾ تبديل,عدالتون,https://dailysobh.com/archives/66885
ڪميشن بابت فيصلي ۾ جهول آهن، سنڌ هاءِ ڪورٽ کي پاڻ مرادو نوٽيس جو اختيار ئي ناهي: سنڌ حڪومت,عدالتون,https://dailysobh.com/archives/66833
سنڌ هاءِ ڪورٽ حيدرآباد پاران ميونسپل ڪمشنر زاهد خواجه کي هٽائڻ جو حڪم,عدالتون,https://dailysobh.com/archives/66729
سنڌ هاءِ ڪورٽ سڪرنڊ جي استاد کي پگهارون نه ڏيڻ تي سيڪريٽري تعليم کي طلب ڪري ورتو,عدالتون,https://dailysobh.com/archives/66710
موت جي سزا ٻڌايل عيسائي جوڙو توهين رسالت ڪيس مان آجو قرار,عدالتون,https://dailysobh.com/archives/66707
سنڌ هاءِ ڪورٽ سنڌ پبلڪ سروس ڪميش جو 2018 وارو چٽا ڀيٽي امتحان ۽ 1783 ڊاڪٽرن جون ڀرتيون رد ڪري ڇڏيون,عدالتون,https://dailysobh.com/archives/66701
جيڪو آفيسر سياستدانن جي غلامي ڪري ٿو،اهو نوڪري ڪرڻ جي لائق ناهي: سنڌ هاءِ ڪورٽ,عدالتون,https://dailysobh.com/archives/66647
مخالفن کي نيب ۾ڦاسايو وڃي ٿو،حڪومتون تبديل ٿيڻ سان رويي ۾به جهڪاءُ ايندو آهي:سپريم ڪورٽ,عدالتون,https://dailysobh.com/archives/66582
سنڌ کي اين ايف سي جو صحيح حصو نه پيو ملي،پاڻي تي به ڌاڙو هنيو پيو وڃي:سنڌ حڪومت,عدالتون,https://dailysobh.com/archives/66575
چيف سيڪريٽري کاتي جي سيڪريٽري سان مشوري کانسواءِ آفيسر بدلي نٿو ڪري سگهي:سنڌ هاءِ ڪورٽ,عدالتون,https://dailysobh.com/archives/66569
سنڌ هاءِ ڪورٽ پاران ٻيلن تان قبضا ختم ڪرائڻ لاءِ رينجرز کي پوليس وارا اختيار ڏيڻ جو حڪم,عدالتون,https://dailysobh.com/archives/66542
آءِ ايم ايف کان قرض وٺي ملازمن کي پگهارون ڏيڻ خطرناڪ آهي: چيف جسٽس,عدالتون,https://dailysobh.com/archives/66525
وفاقي حڪومت شهباز شريف کي پرڏيهه وڃڻ جي اجازت ڏيڻ جي فيصلي خلاف اپيل واپس وٺي ڇڏي,عدالتون,https://dailysobh.com/archives/66470
سکر جي عدالت سڄي سنڌ ۾ جبل ٽوڙڻ واري مشينري بند ڪرڻ جو حڪم ڏئي ڇڏيو,عدالتون,https://dailysobh.com/archives/66068
اربين روپين جي نقصان تي اسٽيٽ بئنڪ جي پوري انتظاميا کي فارغ ڪرڻ گهربو هو: سپريم ڪورٽ,عدالتون,https://dailysobh.com/archives/66062
پوليس ڪم ڪري نه ٿي ۽ چوي ٿي عدالتون جوابدار ڇڏي ڏين ٿيون: عدالت,عدالتون,https://dailysobh.com/archives/66026
اهلڪار  هٿيار ۽ بڪتربند گاڏيون ناڪاره هجڻ سبب شهيد پيا ٿين: هاءِ ڪورٽ,عدالتون,https://dailysobh.com/archives/65790
سنڌ هاءِ ڪورٽ سرڪٽ بئنچ حيدرآباد ايف بي آر ۾ نئين ڀرتي لاءِ جاري اشتهار تي اسٽي ڏئي ڇڏيو، چيف ڪمشنر جواب سميت طلب,عدالتون,https://dailysobh.com/archives/65786
نادرا کي پاڻمرادو سڃاڻپ ڪارڊ بلاڪ،معطل يا رد ڪرڻ جو اختيار ناهي:عدالت,عدالتون,https://dailysobh.com/archives/65598
پي ايڇ ڊي هولڊر سرڪاري آفيسرن کي ماهوار 25 هزار رپيا الائونس ڏيڻ جو حڪم,عدالتون,https://dailysobh.com/archives/65490
ڊي سي سکر کي فوري طور هٽائڻ ۽ جاچ مڪمل ٿيڻ تائين ڪنهن به عهدي تي نه رکڻ جو حڪم,عدالتون,https://dailysobh.com/archives/65470
سکر هاءِ ڪورٽ ميونسپل ڪمشنر کي هٿڪڙيون هڻائي ڇڏيون,عدالتون,https://dailysobh.com/archives/65291
حڪومت ڪشتو کڻي گهمي پئي، ڪارڪردگي نه هئڻ برابر آهي: عدالت,عدالتون,https://dailysobh.com/archives/65283
